ksrid lea,agency name,site url,webarchive_url,lea-qid,reference,city,city-qid,latlon,street address,county,county-qid,zip code,lea type
SB978-027,Avenal Police Department,https://www.cityofavenal.com/217/Police,https://web.archive.org/web/20160406193145/http://www.cityofavenal.com/217/Police,Q120751305,,Avenal,Q790415,"36.0039,-120.1298","317 Alpine Street
Avenal, CA 93204",Kings County,Q156358,93204,Police
SB978-029,Azusa Police Department,https://azusapd.org,https://web.archive.org/web/20001012105159/http://www.azusapd.org/,Q120751306,,Azusa,Q794396,"34.13361,-117.906","725 N. Alameda Avenue, Azusa, CA 91702",Los Angeles County,Q104994,91702,Police
SB978-030,Bakersfield Police Department,https://www.bakersfieldcity.us/257/Police,https://web.archive.org/web/20210412030508/https://www.bakersfieldcity.us/257/Police,Q4849312,,Bakersfield,Q49256,"35.36723,-119.0189","1601 Truxtun Avenue
Headquarters
Bakersfield, CA 93301-5109",Kern County,Q108047,93301-5109,Police
SB978-033,Banning Police Department,http://www.banning.ca.us/17/Banning-Police-Department,https://web.archive.org/web/20190830160747/http://banning.ca.us/17/Banning-Police-Department,Q120751308,,Banning,Q806903,"33.92544,-116.8765","125 E. Ramsey Street Banning, CA 92220",Riverside County,Q108111,92220,Police
SB978-034,Barstow Police Department,https://www.barstowca.org/departments/police,https://web.archive.org/web/20201123065934/https://www.barstowca.org/departments/police,Q120751309,,Barstow,Q499174,"34.89308,-117.0255","220 E. Mountain View St, Suite B
Barstow, CA 92311",San Bernardino County,Q108053,92311,Police
SB978-035,Bay Area Rapid Transit Police Department,https://www.bart.gov/about/police,https://web.archive.org/web/20080704171212/http://bart.gov/about/police/,Q4834641,,Oakland,Q17042,"37.80508,-122.2731",,San Francisco Bay Area Rapid Transit District (Calif.),,,Transit
SB978-036,Bear Valley Police Department,https://www.bvcsd.com/police-department,https://web.archive.org/web/20200924191919/https://www.bvcsd.com/police-department,Q120751314,,Tehachapi,Q985253,"35.13224,-118.4491","25101 Bear Valley Rd, Tehachapi, CA 93561",Alpine County,Q108077,93561,Police
SB978-037,Beaumont Police Department,http://beaumontpd.org,https://web.archive.org/web/20170315224739/http://www.beaumontpd.org/,Q120751315,,Beaumont,Q813431,"33.92938,-116.9746","660 Orange Avenue
Beaumont, CA 92223",Riverside County,Q108111,92223,Police
SB978-038,Bell Gardens Police Department,https://www.bellgardens.org/government/public-safety/police-department,https://web.archive.org/web/20190413155658/http://www.bellgardens.org/government/public-safety/police-department,Q120751316,,Bell Gardens,Q815720,"33.96998,-118.149","7100 Garfield Ave, Bell Gardens, CA 90201",Los Angeles County,Q104994,90201,Police
SB978-040,Belmont Police Department,https://www.belmont.gov/departments/police,https://web.archive.org/web/20191108175055/https://www.belmont.gov/departments/police,Q120751317,,Belmont,Q816099,"37.51842,-122.2763","1 Twin Pines Ln # 160, Belmont, CA 94002",San Mateo County,Q108101,94002,Police
SB978-041,Belvedere Police Department,https://www.cityofbelvedere.org/117/Police,https://web.archive.org/web/20181206174037/http://www.cityofbelvedere.org/117/Police,Q120751318,,Belvedere,Q2054234,"37.87494,-122.4674","450 San Rafael Avenue Belvedere, CA 94920",Marin County,Q108117,94920,Police
SB978-042,Benicia Police Department,https://www.ci.benicia.ca.us/police,https://web.archive.org/web/20141108220522/http://www.ci.benicia.ca.us/police,Q120751319,,Benicia,Q817301,"38.05285,-122.1535","200 East L. Street Benicia, CA 94510",Solano County,Q108083,94510,Police
SB978-043,Berkeley Police Department,https://berkeleyca.gov/safety-health/police,https://web.archive.org/web/20220502181918/https://berkeleyca.gov/safety-health/police,Q4892083,,Berkeley,Q484678,"37.86988,-122.2705","2100 Martin Luther King Jr Way, Berkeley, CA 94704",Alameda County,Q107146,94704,Police
SB978-044,Beverly Hills Police Department,https://www.beverlyhills.org/departments/policedepartment/,https://web.archive.org/web/20190524114259/http://www.beverlyhills.org/departments/policedepartment/,Q4899559,,Beverly Hills,Q127856,"34.0736,-118.4005","464 N. Rexford Dr. Beverly Hills, CA 90210",Los Angeles County,Q104994,90210,Police
SB978-049,Blythe Police Department,https://www.cityofblythe.ca.gov/19/Police-Department,https://web.archive.org/web/20210226153724/https://www.cityofblythe.ca.gov/19/Police-Department,Q120751320,,Blythe,Q886915,"33.6104,-114.5985","240 N Spring St, Blythe, CA 92225",Riverside County,Q108111,92225,Police
SB978-050,Brawley Police Department,https://www.brawley-ca.gov/section/Police-Department,https://web.archive.org/web/20150218210909/http://www.brawley-ca.gov/section/Police-Department,Q120751321,,Brawley,Q902878,"32.97863,-115.534","Henry Graham Building, 351 Main St, Brawley, CA 92227",Imperial County,Q169952,92227,Police
SB978-051,Brea Police Department,https://www.ci.brea.ca.us/1595/Police-Services,https://web.archive.org/web/20220121034102/https://www.ci.brea.ca.us/1595/Police-Services,Q4959090,,Brea,Q302612,"33.91759,-117.889","1 Civic Center Circle Plaza Level Brea, CA 92821",Orange County,Q5925,92821,Police
SB978-052,Brentwood Police Department,https://www.brentwoodca.gov/government/police,https://web.archive.org/web/20220802212330/https://www.brentwoodca.gov/government/police,Q120751322,,Brentwood,Q846426,"37.93406,-121.6927","9100 Brentwood Blvd, Brentwood, CA 94513",Contra Costa County,Q108058,94513,Police
SB978-053,Brisbane Police Department,https://www.brisbaneca.org/police,https://web.archive.org/web/20200410213911/https://www.brisbaneca.org/police,Q120751323,,Brisbane,Q917671,"37.680833,-122.419167","147 Valley Drive Brisbane, CA 94005",San Francisco,Q62,94005,Police
SB978-054,Broadmoor Police Department,https://www.broadmoorpolice.com,https://web.archive.org/web/20020202231906/http://www.broadmoorpolice.com/,Q120751324,,Daly City,Q370925,"37.69109,-122.4724","388 Eighty - Eighth Street Street
Broadmoor CA 94015-1717",San Mateo County,Q108101,94015-1717,Police
SB978-055,Buena Park Police Department,https://www.bppd.com/,https://web.archive.org/web/19980111060929/http://bppd.com/,Q120751325,,Buena Park,Q838762,"33.8652,-117.998","6640 Beach Blvd. Buena Park, California 90622",Orange County,Q5925,90622,Police
SB978-056,Burbank Police Department,https://www.burbankpd.org,https://web.archive.org/web/20130601072040/http://burbankpd.org/,Q120751326,,Burbank,Q39561,"34.18182,-118.3078","200 North Third St., Burbank, CA 91502",Los Angeles County,Q104994,91502,Police
SB978-058,Burlingame Police Department,https://www.burlingame.org/departments/police_department/index.php,https://web.archive.org/web/20180901122811/https://burlingame.org/departments/police_department/index.php,Q120751327,,Burlingame,Q986867,"37.58037,-122.3509","1111 Trousdale Drive, Burlingame, CA 94010  ",San Mateo County,Q108101,94010,Police
SB978-062,Butte County Sheriff's Department/Coroner,https://www.buttecounty.net/1393/SheriffCoroner,https://web.archive.org/web/20230310140536/https://www.buttecounty.net/1393/SheriffCoroner,Q120751328,,Oroville,Q850972,"39.51388,-121.5561","5 Gillick Way Oroville, CA 95965 ",Butte County,Q156181,95965,Sheriff
SB978-066,Calaveras County Sheriff's Department,https://sheriff.calaverasgov.us,https://web.archive.org/web/20120128224500/http://sheriff.calaverasgov.us/,Q120751329,,San Andreas,Q2371380,"38.19635,-120.6814","1045 Jeff Tuttle Drive San Andreas, CA 95249",Calaveras County,Q271613,95249,Sheriff
SB978-067,Calexico Police Department,https://www.calexico.ca.gov/index.asp?SEC=029A22CB-1659-4003-84BC-20534F81C51A,https://web.archive.org/web/20201016185833/https://www.calexico.ca.gov/index.asp?SEC=029A22CB-1659-4003-84BC-20534F81C51A,Q120751330,,Calexico,Q753034,"32.67864,-115.4987","420 E. Fifth Street Calexico, California 92231",Imperial County,Q169952,92231,Police
SB978-068,California City Police Department,https://www.californiacity-ca.gov/CC/index.php/departments-1/finance-5,https://web.archive.org/web/20150803231351/http://www.californiacity-ca.gov/CC/index.php/departments-1/finance-5,Q120751331,,California City,Q732125,"35.12894,-117.9856","21130 Hacienda Blvd California City, CA 93505",Kern County,Q108047,93505,Police
SB978-071,Calistoga Police Department,https://www.ci.calistoga.ca.us/city-hall/departments-services/police-department,https://web.archive.org/web/20160305200755/http://www.ci.calistoga.ca.us/city-hall/departments-services/police-department,Q120751332,,Calistoga,Q983598,"38.57878,-122.5795","1235 Washington Street, Calistoga CA 94515",Napa County,Q108137,94515,Police
SB978-072,Campbell Police Department,https://www.campbellca.gov/1030/Police-Department,https://web.archive.org/web/20200805125348/https://www.campbellca.gov/1030/Police-Department,Q19878935,,Campbell,Q988721,"37.2889,-121.9449","City Hall - Lower Level  70 N 1st St, Campbell, CA 95008",Santa Clara County,Q110739,95008,Police
SB978-073,Capitola Police Department,https://www.cityofcapitola.org/police,https://web.archive.org/web/20131127113030/http://www.cityofcapitola.org/police,Q120751600,,Capitola,Q986894,"36.97472,-121.9537","422 Capitola Ave Capitola, California 95010",Santa Cruz County,Q108122,95010,Police
SB978-074,Carlsbad Police Department,https://www.carlsbadca.gov/departments/police,https://web.archive.org/web/20210518161445/https://www.carlsbadca.gov/departments/police,Q120751601,,Carlsbad,Q491099,"33.16588,-117.3382","2560 Orion Way Carlsbad, CA 92010",San Diego County,Q108143,92010,Police
SB978-075,Carmel Police Department,https://ci.carmel.ca.us/police-fire,https://web.archive.org/web/20200318105726/https://ci.carmel.ca.us/police-fire,Q16852283,,Carmel-by-the-Sea,Q625458,"36.55443,-121.9244","Junipero Ave & 4th Ave, Carmel-By-The-Sea, CA 93923",Monterey County,Q108072,93923,Police
SB978-076,Cathedral City Police Department,http://www.cathedralcitypolice.com,https://web.archive.org/web/20031018141344/http://www.cathedralcitypolice.com/,Q120751602,,Cathedral City,Q578518,"33.78101,-116.4643","68-700 Avenida Lalo Guerrero
Cathedral City, CA 92234",Riverside County,Q108111,92234,Police
SB978-077,Central Marin Police Authority,https://www.centralmarinpolice.org,https://web.archive.org/web/20131201094815/http://www.centralmarinpolice.org/,Q20714801,,Larkspur,Q984595,"37.93506,-122.5355","250 Doherty Dr.
Larkspur, CA 94939",Marin County,Q108117,94939,Police
SB978-078,Ceres Department of Public Safety,https://www.ci.calistoga.ca.us/city-hall/departments-services/police-department,https://web.archive.org/web/20160305200755/http://www.ci.calistoga.ca.us/city-hall/departments-services/police-department,Q113181153,,Ceres,Q594171,"37.59476,-120.956","1235 Washington Street, Calistoga CA 94515",Stanislaus County,Q108503,94515,Police
SB978-080,Chaffey Community College District Police Department,https://www.chaffey.edu/police/index.php,https://web.archive.org/web/20200621164802/http://chaffey.edu/police/index.php,Q113181156,,Rancho Cucamonga,Q495365,"34.1028,-117.5753",,San Bernardino County,Q108053,,College/University
SB978-082,Chico Police Department,https://chico.ca.us/police-department,https://web.archive.org/web/20200807012550/https://chico.ca.us/police-department,Q113181159,,Chico,Q432152,"39.732,-121.842","1460 Humboldt Rd
Chico, CA 95928",Butte County,Q156181,95928,Police
SB978-083,Chino Police Department,https://www.cityofchino.org/231/Police,https://web.archive.org/web/20220520170507/https://cityofchino.org/231/Police,Q113181160,,Chino,Q506395,"34.01342,-117.6893","5450 Guardian Way
Chino, CA 91710",San Bernardino County,Q108053,91710,Police
SB978-084,Chowchilla Police Department,https://www.cityofchowchilla.org/176/Police-Department,https://web.archive.org/web/20200920141953/https://cityofchowchilla.org/176/Police-Department,Q113181162,,Chowchilla,Q985260,"37.12319,-120.2596","122 Trinity Avenue
Chowchilla, CA 93610",Madera County,Q109661,93610,Police
SB978-085,Chula Vista Police Department,https://www.chulavistaca.gov/departments/police-department,https://web.archive.org/web/20150203035009/http://www.chulavistaca.gov/departments/police-department,Q5116088,,Chula Vista,Q49270,"32.6409,-117.0843","315 Fourth Avenue, Chula Vista, CA 91910",San Diego County,Q108143,91910,Police
SB978-087,Citrus Heights Police Department,http://www.citrusheights.net/1254/Police-Department,https://web.archive.org/web/20230530234831/https://citrusheights.net/1254/Police-Department,Q113181165,,Citrus Heights,Q658402,"38.69879,-121.2717","6315 Fountain Square Drive
Citrus Heights, CA 95621",Sacramento County,Q108131,95621,Police
SB978-089,Claremont Police Department,https://www.ci.claremont.ca.us/government/departments-divisions/police-department,https://web.archive.org/web/20150418212943/http://www.ci.claremont.ca.us/government/departments-divisions/police-department,Q120751603,,Claremont,Q506398,"34.09641,-117.7164","570 W. Bonita Ave. 
Claremont, CA 91711",Los Angeles County,Q104994,91711,Police
SB978-090,Clayton Police Department,https://claytonca.gov/police/,https://web.archive.org/web/20210617083031/https://claytonca.gov/police/,Q120751604,,Clayton,Q948168,"37.94285,-121.9372","6000 Heritage Trail, Clayton, CA 94517",Contra Costa County,Q108058,94517,Police
SB978-091,Clearlake Police Department,https://clearlake.ca.us/210/Police-Department,https://web.archive.org/web/20140127055904/http://clearlake.ca.us/210/Police-Department,Q120751605,,Clearlake,Q376246,"38.95072,-122.6224","14050 Olympic Drive
Clearlake, CA 95422",Lake County,Q156361,95422,Police
SB978-092,Cloverdale Police Department,https://www.cloverdale.net/78/Police,https://web.archive.org/web/20230517020400/https://www.cloverdale.net/78/Police,Q120751606,,Cloverdale,Q928609,"38.8061,-123.0177",,Sonoma County,Q108067,95425,Police
SB978-093,Clovis Police Department,https://cityofclovis.com/police/,https://web.archive.org/web/20200411064923/https://cityofclovis.com/police/,Q120751607,,Clovis,Q303794,"36.82396,-119.6943","1233 5th St, Clovis, CA 93612",Fresno County,Q271915,93612,Police
SB978-094,Clovis Unified School District Police Department,https://www.cusd.com/PoliceServices.aspx,https://web.archive.org/web/20200512064219/https://www.cusd.com/PoliceServices.aspx,Q120751608,,Clovis,Q303794,"36.82396,-119.6943","CUSD District Office, 1542 David Cook Way Clovis, CA 93611",Fresno County,Q271915,93611,School District
SB978-095,Coalinga Police Department,https://www.coalinga.com/150/Police,https://web.archive.org/web/20200806071726/http://www.coalinga.com/150/Police,Q120751609,,Coalinga,Q985263,"36.13745,-120.3625","270 N 6th Street
Coalinga , CA 93210",Fresno County,Q271915,93210,Police
SB978-096,Coast Community College District Police Department,https://www.goldenwestcollege.edu,https://web.archive.org/web/20030115123516/http://goldenwestcollege.edu/,Q120751566,,Costa Mesa,Q499196,"33.66389,-117.9024",,Orange County,Q5925,,College/University
SB978-098,Colma Police Department,https://www.colma.ca.gov/departments/police/,https://web.archive.org/web/20191108193505/https://www.colma.ca.gov/departments/police/,Q120751611,,Colma,Q987296,"37.67792,-122.4598","1199 El Camino Real
Colma, CA, 94014",San Mateo County,Q108101,94014,Police
SB978-099,Colton Police Department,https://www.coltonpd.org,https://web.archive.org/web/20020608072038/http://www.coltonpd.org/,Q120751612,,Colton,Q846606,"34.07214,-117.3232","650 N. La Cadena Drive
Colton, CA 92324",San Bernardino County,Q108053,92324,Police
SB978-100,Colusa County District Attorney,https://www.countyofcolusa.org/357/District-Attorney,https://web.archive.org/web/20200702190529/http://countyofcolusa.org/357/District-Attorney,Q120751613,,Colusa,Q2444930,"39.21428,-122.009","310 6th Street
Colusa, CA 95932",Colusa County,Q271609,95932,District Attorney
SB978-101,Colusa County Sheriff's Department,https://www.countyofcolusa.org/156/Sheriff,https://web.archive.org/web/20200804202522/http://www.countyofcolusa.org/156/Sheriff,Q120751614,,Colusa,Q2444930,"39.21428,-122.009","929 Bridge Street
Colusa, CA 95932",Colusa County,Q271609,95932,Sheriff
SB978-102,Colusa Police Department,https://cityofcolusa.com/police-department/,https://web.archive.org/web/20211230101803/https://cityofcolusa.com/police-department/,Q120751615,,Colusa,Q2444930,"39.21428,-122.009","260 6th Street
Colusa, CA 95932",Colusa County,Q271609,95932,Police
SB978-105,Concord Police Department,https://www.cityofconcord.org/183/Police,https://web.archive.org/web/20190302223824/http://www.cityofconcord.org/183/Police,Q120751616,,Concord,Q490441,"37.98165,-122.0258","1350 Galindo Street
Concord, CA 94520",Contra Costa County,Q108058,94520,Police
SB978-107,Contra Costa Community College District Police Department,https://www.4cd.edu/pd/index.html,https://web.archive.org/web/20200726200621/http://www.4cd.edu/pd/index.html,Q120751617,,Martinez,Q506439,"38.01393,-122.1349","2600 Mission Bell Drive, San Pablo, CA 94806",Contra Costa County,Q108058,94806,College/University
SB978-108,Contra Costa County District Attorney,https://www.contracosta.ca.gov/7284/District-Attorney,https://web.archive.org/web/20190730230211/http://www.contracosta.ca.gov/7284/District-Attorney,Q120751618,,Martinez,Q506439,"38.01393,-122.1349","10 Douglas Dr #130, Martinez, CA 94553",Contra Costa County,Q108058,94553,District Attorney
SB978-109,Contra Costa County Sheriff's Department/Coroner,https://www.cocosheriff.org,https://web.archive.org/web/19981212023901/http://www.cocosheriff.org/,Q120751619,,Martinez,Q506439,"38.01393,-122.1349"," 1850 Muir Road, Martinez, CA 94553",Contra Costa County,Q108058,94553,Sheriff
SB978-110,Corcoran Police Department,https://www.cityofcorcoran.com/departments/police/index.php,https://web.archive.org/web/20210125031118/http://cityofcorcoran.com/departments/police/index.php,Q120751620,,Corcoran,Q913487,"36.09805,-119.559","911 Hanna Ave, Corcoran, CA 93212",Kings County,Q156358,93212,Police
SB978-112,Corona Police Department,https://www.coronaca.gov/government/departments/police-department,https://web.archive.org/web/20170804170450/https://www.coronaca.gov/government/departments/police-department,Q108782184,,Corona,Q494707,"33.87925,-117.5748","730 Public Safety Way, Corona, CA 92878",Riverside County,Q108111,92878,Police
SB978-113,Coronado Police Department,https://www.coronado.ca.us/166/Police,https://web.archive.org/web/20220518092541/https://www.coronado.ca.us/166/Police,Q120751621,,Coronado,Q828753,"32.67619,-117.1709","700 Orange Ave
Coronado, CA 92118",San Diego County,Q108143,92118,Police
SB978-114,Costa Mesa Police Department,https://www.costamesaca.gov/government/departments-and-divisions/police,https://web.archive.org/web/20230322185003/https://www.costamesaca.gov/government/departments-and-divisions/police,Q5174847,,Costa Mesa,Q499196,"33.66389,-117.9024","99 Fair Drive
Costa Mesa, CA 92626",Orange County,Q5925,92626,Police
SB978-115,Cosumnes River College Police Department,https://police.losrios.edu,https://web.archive.org/web/20110504130710/http://police.losrios.edu/,Q120751622,Los Rios Community College District Police Department,Sacramento,Q18013,"38.57944,-121.4908","Operations & Public Safety, 8401 Center Pkwy, Sacramento, CA 95823",Sacramento County,Q108131,95823,College/University
SB978-116,Cotati Police Department,https://www.cotaticity.org/229/Police,https://web.archive.org/web/20221014200915/https://www.cotaticity.org/229/Police,Q120751623,,Cotati,Q1650450,"38.32336,-122.7083","203 W Sierra Avenue
Cotati, CA 94931",Sonoma County,Q108067,94931,Police
SB978-117,Covina Police Department,https://covinaca.gov,https://web.archive.org/web/20100823044835/http://www.covinaca.gov/,Q120751624,,Covina,Q838782,"34.08743,-117.8899","444 N. Citrus Avenue
Covina, CA 91723",Los Angeles County,Q104994,91723,Police
SB978-118,CPSU Pomona Department of Public Safety,https://www.cpp.edu/police/index.shtml,https://web.archive.org/web/20201028141608/https://www.cpp.edu/police/index.shtml,Q120751625,,Pomona,Q486868,"34.05499,-117.75","109, 3801 W Temple Ave, Pomona, CA 91768",Los Angeles County,Q104994,91768,College/University
SB978-119,Cal Poly University Police,https://afd.calpoly.edu/police/,https://web.archive.org/web/20000830145955/http://www.afd.calpoly.edu/Police/,Q120751626,,San Luis Obispo,Q49012,"35.28579,-120.6627",,San Luis Obispo County,Q49014,,College/University
SB978-121,CSU Bakersfield University Police Department,https://www.csub.edu/bas/police/,https://web.archive.org/web/20060815225954/http://www.csub.edu/bas/police/,Q120751627,,Bakersfield,Q49256,"35.36723,-119.0189","9001 Stockdale Highway
Bakersfield, CA 93311",Kern County,Q108047,93311,College/University
SB978-122,CSU Channel Islands University Police Department,https://www.csuci.edu/publicsafety/police/,https://web.archive.org/web/20140209091347/http://www.csuci.edu/publicsafety/police/,Q120751628,,Camarillo,Q846040,"34.2234,-119.0507","33 Camarillo St, Camarillo, CA 93012",Ventura County,Q108127,93012,College/University
SB978-123,CSU Chico University Police Department,https://www.csuchico.edu/up/,https://web.archive.org/web/19970522050049/http://www.csuchico.edu/up/,Q120751629,,Chico,Q432152,"39.732,-121.842","Parking Structure II, Room 101
W 2nd And, Chestnut St, Chico, CA 95928",Butte County,Q156181,95928,College/University
SB978-124,CSU Dominguez Hills University Police and Parking,https://www.csudh.edu/dhpd/,https://web.archive.org/web/20040106154851/http://www.csudh.edu/dhpd/,Q120751630,,Carson,Q494690,"33.83161,-118.2621",,Los Angeles County,Q104994,,College/University
SB978-125,CSU East Bay University Police Department,https://www.csueastbay.edu/upd/,https://web.archive.org/web/20180916050857/http://www.csueastbay.edu/upd/,Q120751631,,Hayward,Q491114,"37.67134,-122.0856",,Alameda County,Q107146,,College/University
SB978-126,CSU Fresno University Police Department,https://adminfinance.fresnostate.edu/police/,https://web.archive.org/web/20210919211223/https://adminfinance.fresnostate.edu/police/,Q120751632,,Fresno,Q43301,"36.74084,-119.7855","2311 E Barstow Ave M/S PO 14
Fresno, CA 93740",Fresno County,Q271915,93740,College/University
SB978-127,CSU Fullerton University Police Department,https://police.fullerton.edu,https://web.archive.org/web/19990503121626/http://police.fullerton.edu/,Q120751633,,Fullerton,Q494723,"33.87033,-117.929","800 N. State College Blvd.
Fullerton, CA 92831",Orange County,Q5925,92831,College/University
SB978-128,Cal Poly Humboldt Police Department,https://police.humboldt.edu,https://web.archive.org/web/20171107033932/http://police.humboldt.edu/,Q120751344,,Arcata,Q631752,"40.86766,-124.0851","SBS Building, 1st Floor, 1 Harpst St
Arcata, CA 95521",Humboldt County,Q109651,95521,College/University
SB978-129,CSU Long Beach University Police Department,https://www.csulb.edu/university-police,https://web.archive.org/web/20170910085305/http://www.csulb.edu/university-police,Q120751634,,Long Beach,Q16739,"33.76672,-118.1924","1250 N Bellflower Blvd, Long Beach, CA 90840",Los Angeles County,Q104994,90840,College/University
SB978-130,Cal State LA Police Department,https://www.calstatela.edu/police,https://web.archive.org/web/20140805070712/http://www.calstatela.edu/police,Q120751635,,Los Angeles,Q65,"34.05357,-118.2454","5151 Paseo Rancho Castilla, Los Angeles, CA 90032",Los Angeles County,Q104994,90032,College/University
SB978-132,CSU Monterey Bay University Police Department,https://csumb.edu/police/,https://web.archive.org/web/20150401212354/https://csumb.edu/police,Q120751636,,Seaside,Q986900,"36.6039,-121.853","100 Campus Ctr, Valley Hall Suite F, Seaside, CA 93955",Monterey County,Q108072,93955,College/University
SB978-133,CSU Northridge Department of Police Services,https://www.csun.edu/police,https://web.archive.org/web/19970715064011/http://www.csun.edu/police/,Q120751637,,Northridge,Q2050326,"34.23512,-118.5338","9222 Darby Ave, Northridge, CA 91325",Los Angeles County,Q104994,91325,College/University
SB978-134,CSU Sacramento Public Safety/University Police Department,https://www.csus.edu/campus-safety/police-department/,https://web.archive.org/web/20200928062025/https://www.csus.edu/campus-safety/police-department/,Q120751638,,Sacramento,Q18013,"38.57944,-121.4908",,Sacramento County,Q108131,,College/University
SB978-135,CSU San Bernardino University Police Department,https://www.csusb.edu/police,https://web.archive.org/web/20170519050912/https://www.csusb.edu/police,Q120751639,,San Bernardino,Q486168,"34.12717,-117.3348","Fairview Dr, San Bernardino, CA 92407",San Bernardino County,Q108053,92407,College/University
SB978-136,San Diego State University Police Department,https://police.sdsu.edu,https://web.archive.org/web/20000511122916/http://police.sdsu.edu/,Q120751640,,San Diego,Q16552,"32.71568,-117.1617","5499 Remington Rd, San Diego, CA 92115",San Diego County,Q108143,92115,College/University
SB978-138,CSU San JosÃ© University Police Department,https://www.sjsu.edu/police/,https://web.archive.org/web/19990225080821/http://www.sjsu.edu/police/,Q120751642,,San Jose,Q16553,"37.33865,-121.8854","1 Washington Square, San Jose, CA 95112",Santa Clara County,Q110739,95112,College/University
SB978-139,CSU San Marcos University Police Department,https://www.csusm.edu,https://web.archive.org/web/19970205114239/http://www.csusm.edu/,Q120751643,,San Marcos,Q506411,"33.14115,-117.1607",,San Diego County,Q108143,,College/University
SB978-140,Sonoma State University Police and Parking Services,https://web.sonoma.edu,https://web.archive.org/web/20010427044927/http://web.sonoma.edu/,Q120751644,,Rohnert Park,Q986835,"38.34242,-122.7102",,Sonoma County,Q108067,,College/University
SB978-141,CSU Stanislaus Police Department,https://www.csustan.edu,https://web.archive.org/web/19981212024123/http://www.csustan.edu/,Q120751645,,Turlock,Q1011205,"37.49528,-120.8467",,Stanislaus County,Q108503,,College/University
SB978-142,Cuesta College Department of Public Safety,https://www.cuesta.edu,https://web.archive.org/web/20020220122658/http://www.cuesta.edu/,Q120751646,,San Luis Obispo,Q49012,"35.28579,-120.6627",,San Luis Obispo County,Q49014,,College/University
SB978-143,Culver City Police Department,https://www.culvercitypd.org,https://web.archive.org/web/20121206022713/http://www.culvercitypd.org/,Q5193723,,Culver City,Q493378,"34.02161,-118.3962",,Los Angeles County,Q104994,,Police
SB978-144,Cypress Police Department,https://www.cypressca.org,https://web.archive.org/web/20161020013139/http://www.cypressca.org/,Q120751647,,Cypress,Q685224,"33.82434,-118.0372",,Orange County,Q5925,,Police
SB978-145,Daly City Police Department,https://www.dalycity.org/,https://web.archive.org/web/19991007032914/http://dalycity.org/,Q120751648,,Daly City,Q370925,"37.69109,-122.4724",,San Mateo County,Q108101,,Police
SB978-148,Davis Police Department,https://www.cityofdavis.org,https://web.archive.org/web/20020527131822/http://www.cityofdavis.org/,Q120751649,,Davis,Q668546,"38.54669,-121.7446",,Yolo County,Q109709,,Police
SB978-150,Del Norte County Sheriff's Department,http://www.co.del-norte.ca.us,https://web.archive.org/web/20010201062300/http://co.del-norte.ca.us/,Q120751650,,Crescent City,Q166866,"41.75281,-124.2005",,Del Norte County,Q156186,,Sheriff
SB978-151,Del Rey Oaks Police Department,https://www.delreyoaks.org,https://web.archive.org/web/20050803084124/http://www.delreyoaks.org/,Q120751651,,Del Rey Oaks,Q2258788,"36.59535,-121.8404",,Monterey County,Q108072,,Police
SB978-152,Delano Police Department,http://www.cityofdelano.org,https://web.archive.org/web/20070830141625/http://www.cityofdelano.org/,Q5253156,,Delano,Q775868,"35.77046,-119.2453",,Kern County,Q108047,,Police
SB978-153,Desert Hot Springs Police Department,https://www.cityofdhs.org,https://web.archive.org/web/20060916220242/http://www.cityofdhs.org/,Q113181184,,Desert Hot Springs,Q573096,"33.96145,-116.5102",,Riverside County,Q108111,,Police
SB978-154,Dinuba Police Department,http://www.dinuba.org,https://web.archive.org/web/20010123154100/http://www.dinuba.org/,Q120751652,,Dinuba,Q986906,"36.54431,-119.3856",,Tulare County,Q109686,,Police
SB978-155,Dixon Police Department,https://www.dixonpolice.org,https://web.archive.org/web/20180727185413/http://www.dixonpolice.org/,Q120751653,,Dixon,Q986903,"38.44552,-121.8171",,Solano County,Q108083,,Police
SB978-156,Dos Palos Police Department,https://www.dospalospd.org,https://web.archive.org/web/20110315175713/http://dospalospd.org/,Q113181186,,Dos Palos,Q986878,"36.9856,-120.6278",,Merced County,Q109690,,Police
SB978-157,Downey Police Department,https://www.downeyca.org,https://web.archive.org/web/19971221152051/http://downeyca.org/,Q120751654,,Downey,Q488946,"33.94077,-118.1277",,Los Angeles County,Q104994,,Police
SB978-158,East Bay Regional Parks District Department of Public Safety,https://www.ebparks.org,https://web.archive.org/web/19981202213756/http://www.ebparks.org/,Q120751655,,Castro Valley,Q1020700,"37.69469,-122.0853",,Alameda County,Q107146,,Parks
SB978-159,East Palo Alto Police Department,https://www.cityofepa.org,https://web.archive.org/web/20110627051448/http://cityofepa.org/,Q113181189,,East Palo Alto,Q988697,"37.4732,-122.1396",,San Mateo County,Q108101,,Police
SB978-160,El Cajon Police Department,https://docs.cityofelcajon.us,https://web.archive.org/web/20230719150636/https://docs.cityofelcajon.us/,Q5350859,,El Cajon,Q369947,"32.79495,-116.959",,San Diego County,Q108143,,Police
SB978-161,El Camino Community College District Police Department,https://www.elcamino.edu,https://web.archive.org/web/20020524155716/http://www.elcamino.edu/,Q113181190,,Torrance,Q489197,"33.83707,-118.3432",,Los Angeles County,Q104994,,College/University
